Quantity,Footprint,Value,Device
68,热插拔轴座,,热插拔轴座
68,3528/6028,,缺口蓝色反贴rgb
1,VQFN-48_L6.0-W6.0-P0.50-BL-EP,,IS31FL3733-QFLS4-TR(建议搬板)
1,UQFN-40_L5.0-W5.0-P0.40-BL-EP3.7,,IS31FL3737-QFLS4-TR(建议搬板)
1,雷蛇LOGO插件灯,,雷蛇LOGO插件灯
9,C0603,100nF,CL10B104KB8NNNC
7,C0603,1uF,CL10A105KB8NNNC
1,CONN-SMD_4P-P1.25_HDGC-HDGC1251WR-S-4P,,HDGC1251WR-S-4P
40,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,,BAW56_C2136
5,R0603,100kΩ,0603WAF1003T5E
2,R0603,50kΩ,AR03BTC5002A
4,R0603,0Ω,0603WAF0000T5E
22,R0603,10kΩ,0603WAF1002T5E
2,R0603,1.5kΩ,0603WAF1501T5E
2,C0603,100pF,CC0603JRNPO9BN101
1,FPC-SMD_28P-P0.50_FPC-05F-28PH20,,FPC-05F-28PH20
